Placement,Swiss,Country,Player,Prize,Team,Class,Tournament
35,6-3,ESP,Rafael Busutil(PokeRaf),130 CP,"['Lunala', 'Groudon', 'Incineroar', 'Amoonguss', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Europe International Championships
36,6-3,GBR,Jack Clarke(Jack),130 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
37,6-3,ITA,Francesco Raga(Lil Darkrai),130 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon-East', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Europe International Championships
38,6-3,DEU,Maurice Uteg(Camikasa),130 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Europe International Championships
39,6-3,CZE,David Koutesh(Hamstermania),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
40,6-3,ITA,Loris Di Mella(Loris),130 CP,"['Solgaleo', 'Calyrex-Shadow-Rider', 'Landorus-Therian', 'Tapu-Fini', 'Porygon2', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
41,6-3,ESP,Daniel Hernández(DaniHotaku),130 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Landorus-Therian', 'Whimsicott', 'Golisopod', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Europe International Championships
42,6-3,ESP,Alex Gómez(PokeAlex),130 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Charizard', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
43,6-3,DEU,Robert Wein(Schroombert),130 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Landorus-Therian', 'Whimsicott', 'Indeedee-Female', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Europe International Championships
44,6-3,ESP,Alfonso González(Massa),130 CP,"['Zamazenta-Crowned', 'Zygarde-50', 'Incineroar', 'Tapu-Fini', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
45,6-3,ITA,Marco Silva(marcofiero),130 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Urshifu', 'Coalossal']",Teams and Results,Teams and Results from the 2022 Europe International Championships
46,6-3,NDL,Mateus de Moura P.(Mateus),130 CP,"['Zacian-Crowned', 'Yveltal', 'Landorus-Therian', 'Amoonguss', 'Persian-Alola', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Europe International Championships
47,6-3,ITA,Giulio Tarlao(Giulio),130 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Gastrodon-East', 'Porygon2']",Teams and Results,Teams and Results from the 2022 Europe International Championships
48,6-3,NDL,Sean Martens(Sean),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Europe International Championships
49,6-3,ESP,Sidi I. Haidala(MrSidi),130 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Bronzong', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Europe International Championships
50,6-3,USA,Brady Smith(bsmiffy),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
51,6-3,NDL,Bas van der Heijden(Baars),130 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Gastrodon-East', 'Raichu']",Teams and Results,Teams and Results from the 2022 Europe International Championships
52,6-3,ITA,Shai Rabà(Shabarai),130 CP,"['Zacian-Crowned', 'Dialga', 'Landorus-Therian', 'Rillaboom', 'Grimmsnarl', 'Urshifu']",Teams and Results,Teams and Results from the 2022 Europe International Championships
53,6-3,ITA,Francesco P. Pero(CICCIOTT),130 CP,"['Zacian-Crowned', 'Kyogre', 'Charizard', 'Whimsicott', 'Indeedee-Female', 'Kartana']",Teams and Results,Teams and Results from the 2022 Europe International Championships
54,6-3,ESP,Iker Rodrigo(Reki),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
55,6-3,POL,Szymon Wojdat(Amy),130 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Charizard', 'Gastrodon-East', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
56,6-3,ESP,Senén Lara(Senén),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
57,6-3,GTM,Juan M. Santizo(Juanma),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
58,6-3,ITA,Simone Casini(Simone),130 CP,"['Calyrex-Ice-Rider', 'Kyogre', 'Incineroar', 'Amoonguss', 'Porygon2', 'Kartana']",Teams and Results,Teams and Results from the 2022 Europe International Championships
59,6-3,DEU,Nick Schrott(Nick),130 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Indeedee-Female', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
60,6-3,GBR,Jamie Chen(JUYOP),130 CP,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Shedinja', 'Cresselia', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Europe International Championships
61,6-3,ITA,Milko Mattavelli(Milko),130 CP,"['Zacian-Crowned', 'Dialga', 'Landorus-Therian', 'Rillaboom', 'Grimmsnarl', 'Urshifu']",Teams and Results,Teams and Results from the 2022 Europe International Championships
62,6-3,ITA,Daniele Spuntarelli(Zenzero),130 CP,"['Solgaleo', 'Groudon', 'Incineroar', 'Venusaur', 'Suicune', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Europe International Championships
63,6-3,ESP,Raül Álvarez(FV),130 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Whimsicott', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Europe International Championships
64,6-3,FIN,Teemu Mankinen(Derith96),130 CP,"['Yveltal', 'Calyrex-Shadow-Rider', 'Landorus-Therian', 'Whimsicott', 'Indeedee-Female', 'Gothitelle']",Teams and Results,Teams and Results from the 2022 Europe International Championships
1,4-1,AUS,Nicholas K.,500 CP$1500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Shedinja', 'Indeedee-Female', 'Zapdos']",Seniors Division,Teams and Results from the 2022 Europe International Championships
2,4-1,ITA,Alessandro M.,400 CP$1000,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Shedinja', 'Indeedee-Female', 'Kingdra']",Seniors Division,Teams and Results from the 2022 Europe International Championships
3,4-1,ITA,Riccardo Z.,320 CP$750,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Charizard', 'Gastrodon', 'Thundurus']",Seniors Division,Teams and Results from the 2022 Europe International Championships
4,4-1,FRA,Aurélien S.,320 CP$750,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Grimmsnarl', 'Gastrodon', 'Charizard']",Seniors Division,Teams and Results from the 2022 Europe International Championships
1,3-0,DEU,Alexander M.,500 CP$1500,"['Dialga', 'Calyrex-Ice-Rider', 'Incineroar', 'Amoonguss', 'Mimikyu', 'Regieleki']",Juniors Division,Teams and Results from the 2022 Europe International Championships
2,2-1,ITA,Francesca Z.,400 CP$1000,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Ferrothorn', 'Grimmsnarl', 'Landorus-Therian']",Juniors Division,Teams and Results from the 2022 Europe International Championships
1,7-1,DEU,Jonas Wiegel(wiegelinho),200 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Landorus-Therian', 'Rillaboom', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
2,7-1,ESP,Antonio Sánchez(Rahxen),160 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Torkoal', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
3,7-1,ESP,Oriol Plaza(Oriol Plaza),130 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Landorus-Therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
4,6-2,ESP,Juan Benítez(Palo),130 CP,"['Zacian-Crowned', 'Kyogre', 'Indeedee-female', 'Venusaur', 'Whimsicott', 'Charizard']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
5,8-0,ESP,Juan M. Odriozola(Juanma),100 CP,"['Lunala', 'Groudon', 'Incineroar', 'Amoonguss', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
6,7-1,PRT,Eduardo Cunha(Edu),100 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
7,7-1,FRA,Franck Bourachon(Opalko),100 CP,"['Zacian-Crowned', 'Groudon', 'Charizard', 'Whimsicott', 'Snorlax', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
8,6-2,ESP,David R. Monroy(Monroy),100 CP,"['Solgaleo', 'Calyrex-Shadow-Rider', 'Incineroar', 'Tapu-Fini', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
9,6-2,ESP,Alex Soto(Nana),80 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
10,6-2,ESP,Alex Gómez(PokeAlex),80 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
11,6-2,ESP,Alejandro Ramos(AlexGaMeS),80 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Landorus-therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
12,6-2,ESP,Guillermo Castilla(KastyTP),80 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Tapu-Fini', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
13,6-2,ESP,Ismael Aarab(SIUMAN),80 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Clefairy', 'Rillaboom', 'Porygon-z', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
14,6-2,ESP,Fernando Risoto(Fernando),80 CP,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Cradily', 'Charizard', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
15,6-2,PRT,Francisco Coroado(FCoroado),80 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
16,6-2,ESP,Eric Rios(Riopaser),80 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon-east', 'Charizard', 'Grimmsnarl']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
17,6-2,GBR,Matthew Harries(Matt),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Landorus-Therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
18,6-2,ESP,Miquel Nicolau(Marc),60 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Incineroar', 'Kartana', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
19,6-2,ESP,Miguel Pedraza(Miguel),60 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Bronzong', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
20,6-2,FRA,Thomas Gravouille(Hari),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Kartana', 'Shedinja', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
21,6-2,GBR,Jack Clarke(Jack),60 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
22,6-2,ESP,André Marques(Andre),60 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Urshifu', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
23,6-2,PRT,Claudio Serpa(TrickSage),60 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Tapu-fini', 'Dusclops']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
24,6-2,ESP,Adrián Más(Mi✰),60 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
25,6-2,ESP,Daniel Hernández(DaniHotaku),60 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Golisopod', 'Whimsicott', 'Landorus-Therian', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
26,5-3,ESP,Daniel Navarro(daniabp),60 CP,"['Zacian-Crowned', 'Lunala', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
27,5-3,ITA,Francesco Ligas(kekko_lí),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Amoonguss', 'Tornadus', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
28,5-3,ESP,Pablo Santos(Swaggy),60 CP,"['Necrozma-Dusk-Mane', 'Kyogre', 'Incineroar', 'Rillaboom', 'Mimikyu', 'Amoonguss']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
29,5-3,ESP,Marc Román(Elsa),60 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
30,5-3,ESP,Francisco Garví(FrancisKet),60 CP,"['Zacian-Crowned', 'Groudon', 'Umbreon', 'Rillaboom', 'Suicune', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
31,5-3,ESP,Joaquín Blanch(TheXich),60 CP,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Kartana', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
32,5-3,PRT,Diogo Henriques(Extreme),60 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
33,5-3,ESP,David Rey(Tetsu),50 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Weezing-Galar', 'Whimsicott', 'Regigigas', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
34,5-3,ESP,Jorge Vega(DarkJorch),50 CP,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Venusaur', 'Umbreon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
35,5-3,GBR,Matt Maynard(bwenty),50 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Mimikyu', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
36,5-3,PRT,Francisco Esteves(FEsteves),50 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Slowbro', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
37,5-3,ESP,Jorge Fernández(Calatrava),50 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Gastrodon', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
38,5-3,ESP,Pau Sánchez(Tyen),50 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Landorus-Therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
39,5-3,ESP,Joan García(Joan),50 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Thundurus-Therian']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
40,5-3,PRT,João Veloso(Velozozz),50 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Porygon2', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
41,5-3,GBR,Taran Birdee(Taran),50 CP,"['Zacian-Crowned', 'Kyogre', 'Kartana', 'Amoonguss', 'Whimsicott', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
42,5-3,ESP,Jorge Tordable(Topo),50 CP,"['Zacian-Crowned', 'Kyogre', 'Kingdra', 'Kartana', 'Shedinja', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
43,5-3,DEU,Lukas Hezinger(TDK),50 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
44,5-3,ITA,Valentino Mattana(CliffyS),50 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Ferrothorn', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
45,5-3,NDL,Ibrahim Karasahin(latvian),50 CP,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Gastrodon', 'Charizard', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
46,5-3,ITA,Daniele Kaygorodova(Dan),50 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Landorus-Therian', 'Gastrodon-East', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
47,5-3,ESP,Antonio Rodrigo(EXHOUL),50 CP,"['Calyrex-Shadow-Rider', 'Yveltal', 'Sneasel', 'Amoonguss', 'Whimsicott', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
48,5-3,ESP,Juan A. Fernández(Juanan),50 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Tapu-Fini', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
49,5-3,FRA,François-X. de Lageneste(FX),50 CP,"['Calyrex-Ice-Rider', 'Reshiram', 'Incineroar', 'Amoonguss', 'Gastrodon', 'Mimikyu']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
50,5-3,ESP,Alberto Núñez(Ax),50 CP,"['Zacian-Crowned', 'Lunala', 'Incineroar', 'Venusaur', 'Torkoal', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
51,5-3,ESP,Alfonso González(Massa),50 CP,"['Zamazenta-Crowned', 'Zygarde-50', 'Incineroar', 'Tapu-Fini', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
52,5-3,ESP,Adrián Isidoro(Adri),50 CP,"['Yveltal', 'Kyogre', 'Incineroar', 'Rillaboom', 'Amoonguss', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
53,5-3,PRT,João Santos(Hawke),50 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Whimsicott', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
54,5-3,SWE,David Barker(Muphry),50 CP,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Gastrodon', 'Charizard', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
55,5-3,ESP,Víctor Medina(Torviv),50 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Torkoal', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
56,5-3,GBR,Aaron Marshall(Aaron),50 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Porygon2', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
57,5-3,ITA,Milko Mattavelli(Milko),50 CP,"['Zacian-Crowned', 'Dialga', 'Landorus-Therian', 'Rillaboom', 'Grimmsnarl', 'Urshifu']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
58,5-3,No Flag,Yale K. A. Gasaan(gasaan),50 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
59,5-3,ESP,Juanma Luque(Juanma),50 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
60,5-3,FIN,Kasper Kallio(Kasper),50 CP,"['Kyurem-White', 'Groudon', 'Sableye', 'Venusaur', 'Ditto', 'Charizard']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
61,5-3,ESP,David Iglesias(Kamelot),50 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Lapras', 'Raichu', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
62,4-4,FRA,Arthur Glandier(Ksomon),50 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Porygon2', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
63,4-4,PRT,Miguel Rebelo(HardFreaQ),50 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Tapu-Fini', 'Dusclops']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
64,4-4,DEU,Maurice Uteg(Camikasa),50 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2022 Bilbao Special Event
1,7-2,SWI,Stefan Mott(Pengy),200 CP$3000,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
2,7-2,USA,Jeremy Rodrigues(Serapis),160 CP$2000,"['Calyrex-Ice-Rider', 'Reshiram', 'Incineroar', 'Tapu-Fini', 'Porygon2', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
3,8-1,USA,Alex Underhill(Lexicon),130 CP$1000,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Rillaboom', 'Gothitelle', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
4,7-2,USA,Austin Acosta(Austin),130 CP$1000,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
5,7-2,USA,Carson Confer(Carson),100 CP$500,"['Calyrex-Shadow-Rider', 'Kyogre', 'Landorus-Therian', 'Whimsicott', 'Indeedee-Female', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
6,7-2,ECU,Paul Ruiz(Ralfdude),100 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Whimsicott', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
7,7-2,USA,Leonard Craft(DaWoblefet),100 CP$500,"['Calyrex-Ice-Rider', 'Reshiram', 'Incineroar', 'Amoonguss', 'Gastrodon-East', 'Mimikyu']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
8,7-2,USA,Andrew Ding(Jadis★),100 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
9,8-1,USA,Adrien Hurley(Adrien),80 CP$250,"['Calyrex-Ice-Rider', 'Reshiram', 'Urshifu', 'Amoonguss', 'Grimmsnarl', 'Porygon2']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
10,8-1,USA,Kevin Swastek(kswas),80 CP$250,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Urshifu', 'Whimsicott', 'Darmanitan-Galar', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
11,8-1,USA,Cedric DeRouchie(Cedric),80 CP$250,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Whimsicott', 'Indeedee-Female', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
12,8-1,USA,Norah Bowman(Bubs!),80 CP$250,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
13,8-1,USA,Joseph Ugarte(JoeUX9),80 CP$250,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Gastrodon', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
14,7-2,GTM,Nathan Ortiz(Kortex),80 CP$250,"['Calyrex-Shadow-Rider', 'Kyurem-White', 'Talonflame', 'Indeedee-Female', 'Urshifu', 'Ditto']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
15,7-2,USA,William Marks(Munkey),80 CP$250,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
16,7-2,USA,Collin Heier(BattleRoom),80 CP$250,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Landorus-Therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
17,7-2,USA,Alyssa Smith(Temporal),60 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Rillaboom', 'Porygon2', 'Amoonguss']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
18,7-2,SWE,Aditya Subramanian(Adi),60 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Rillaboom', 'Gothitelle', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
19,7-2,USA,Aaron Clemons(AaronC),60 CP,"['Calyrex-Shadow-Rider', 'Kyogre', 'Weezing', 'Venusaur', 'Indeedee-Female', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
20,7-2,HKG,Hayden Sheung(Hayden),60 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon', 'Charizard', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
21,7-2,USA,Preston Gadling(heKtikVGC),60 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Indianapolis Regionals
